"LabelValue","Name","Color_R","Color_G","Color_B","Color_A","Category_CodingScheme","Category_CodeValue","Category_CodeMeaning","Type_CodingScheme","Type_CodeValue","Type_CodeMeaning","TypeModifier_CodingScheme","TypeModifier_CodeValue","TypeModifier_CodeMeaning","Region_CodingScheme","Region_CodeValue","Region_CodeMeaning","RegionModifier_CodingScheme","RegionModifier_CodeValue","RegionModifier_CodeMeaning"
1,"Entopallium (E)",58,149,252,255,"","","","","","","","","","","","","","",""
2,"Intermediate subpretectal nucleus (ISPT)",255,207,218,255,"","","","","","","","","","","","","","",""
3,"Nucleus isthmi, magnocellular part (Imc)",255,236,179,255,"","","","","","","","","","","","","","",""
4,"Nucleus isthmi, parvocellular part (Ipc)",219,46,46,255,"","","","","","","","","","","","","","",""
5,"Isthmo-optic nucleus (ION)",167,171,121,255,"","","","","","","","","","","","","","",""
6,"Layer 13 (LXIII/SGC)",65,36,128,255,"","","","","","","","","","","","","","",""
7,"Layer 5 (LV/SGFS)",120,82,204,255,"","","","","","","","","","","","","","",""
8,"Ventrolateral mesopallium (MVL)",213,155,255,255,"","","","","","","","","","","","","","",""
9,"Optic tectum (TeO)",101,56,199,255,"","","","","","","","","","","","","","",""
10,"Pretectal nucleus (PT)",218,201,255,255,"","","","","","","","","","","","","","",""
11,"Posteroventral thalamic nucleus (PVTh)",204,41,150,255,"","","","","","","","","","","","","","",""
12,"Nucleus rotundus (ROT)",135,206,250,255,"","","","","","","","","","","","","","",""
13,"Semilunar nucleus (SLu)",255,140,0,255,"","","","","","","","","","","","","","",""
14,"Lateral spiriform nucleus (SpL)",72,209,204,255,"","","","","","","","","","","","","","",""
15,"Subpretectal nucleus (SP)",255,182,193,255,"","","","","","","","","","","","","","",""
16,"Dorsal rotundus (ROTd)",186,85,211,255,"","","","","","","","","","","","","","",""
17,"Intermediate rotundus (ROTi)",144,238,144,255,"","","","","","","","","","","","","","",""
18,"Lateral posterior rotundus (ROTlp)",255,228,181,255,"","","","","","","","","","","","","","",""
19,"Triangularis (T)",64,224,208,255,"","","","","","","","","","","","","","",""
20,"Ventral rotundus (ROTv)",218,112,214,255,"","","","","","","","","","","","","","",""
21,"Entopallium belt (Eb)",173,216,230,255,"","","","","","","","","","","","","","",""
22,"Internal core (Ei)",240,128,128,255,"","","","","","","","","","","","","","",""
23,"External core (Ee)",152,251,152,255,"","","","","","","","","","","","","","",""
24,"Retinal ganglion cells (RGCs)",221,160,221,255,"","","","","","","","","","","","","","",""
25,"Dorsal geniculate nuclear complex (GLd)",255,218,185,255,"","","","","","","","","","","","","","",""
26,"Dorsolateral anterior thalamus, lateral rostral part (DLAlr)",176,196,222,255,"","","","","","","","","","","","","","",""
27,"Hyperpallium",255,160,122,255,"","","","","","","","","","","","","","",""
28,"Dorsolateral anterior thalamus, magnocellular part (DLAmc)",147,112,219,255,"","","","","","","","","","","","","","",""
29,"Dorsolateral anterior thalamus, lateral part (DLL)",250,250,210,255,"","","","","","","","","","","","","","",""
30,"Dorsolateral anterior thalamus, lateral part, ventromedial subdivision (DLLvm)",123,104,238,255,"","","","","","","","","","","","","","",""
31,"Dorsolateral anterior thalamus, lateral part, dorsolateral subdivision (DLLdl)",255,239,213,255,"","","","","","","","","","","","","","",""
32,"Corticoseptomesencephalic tract (csm)",106,90,205,255,"","","","","","","","","","","","","","",""
33,"Suprarotundus (SpROT)",255,192,203,255,"","","","","","","","","","","","","","",""
34,"Subrotundus nucleus (SROT)",95,158,160,255,"","","","","","","","","","","","","","",""
35,"Lateral dorsal principal optic thalamus (LdOPT)",255,222,173,255,"","","","","","","","","","","","","","",""
36,"Apical hyperpallium (HA)",138,43,226,255,"","","","","","","","","","","","","","",""
37,"Intercalated nucleus of the apical hyperpallium (IHA)",245,245,220,255,"","","","","","","","","","","","","","",""
38,"Intermediate hyperpallium (HI)",75,0,130,255,"","","","","","","","","","","","","","",""
39,"Densocellular hyperpallium (HD)",255,250,205,255,"","","","","","","","","","","","","","",""
40,"Arcopallium (ARP)",153,50,204,255,"","","","","","","","","","","","","","",""
41,"Anterior commissure (ac)",230,230,250,255,"","","","","","","","","","","","","","",""
42,"Temporo-parieto-occipital area (TPO)",199,21,133,255,"","","","","","","","","","","","","","",""
43,"Hippocampal formation (Hp)",240,230,140,255,"","","","","","","","","","","","","","",""
44,"Cerebellar folium I",216,191,216,255,"","","","","","","","","","","","","","",""
